03:56:16 exp:125.36/29.42/31, hash:125.09/29.59/ 99.7%, now:125.27/29.56/ 99.9%/ 99.8%/31, V:1254, P:3686+0.2%, L:0.00%/0.000, T:70.1/72.8/7.5, d:0
03:56:36 exp:125.36/29.42/31, hash:125.08/29.64/ 99.7%, now:124.42/29.73/ 99.3%/ 99.8%/32, V:1255, P:3687+0.2%, L:0.00%/0.000, T:70.3/73.2/7.5, d:1
03:56:56 exp:125.36/29.42/31, hash:125.06/29.65/ 99.7%, now:124.58/29.70/ 99.4%/ 99.7%/33, V:1255, P:3692+0.4%, L:0.00%/0.000, T:69.9/72.8/7.5, d:268435456
03:57:16 exp:125.36/29.42/31, hash:125.06/29.71/ 99.7%, now:124.67/29.68/ 99.5%/ 99.8%/32, V:1256, P:3686+0.2%, L:0.00%/0.000, T:69.8/72.5/7.5, d:1
03:57:36 exp:125.36/29.42/31, hash:125.05/29.69/ 99.7%, now:124.92/29.64/ 99.7%/ 99.7%/32, V:1256, P:3698+0.5%, L:0.00%/0.000, T:70.0/73.0/7.5, d:268435456
03:57:56 exp:125.36/29.42/31, hash:124.97/29.71/ 99.7%, now:124.41/29.77/ 99.2%/ 99.7%/29, V:1257, P:3695+0.5%, L:0.00%/0.000, T:69.9/72.7/7.5, d:1
03:58:16 exp:125.36/29.42/31, hash:124.97/29.69/ 99.7%, now:125.45/29.56/100.1%/ 99.6%/32, V:1257, P:3706+0.8%, L:0.00%/0.000, T:70.2/73.2/7.5, d:268435456
03:58:36 exp:125.36/29.42/31, hash:124.93/29.73/ 99.7%, now:124.78/29.76/ 99.5%/ 99.7%/32, V:1256, P:3703+0.7%, L:0.00%/0.000, T:69.9/72.8/7.5, d:-1073741824
03:58:56 exp:125.36/29.42/31, hash:124.87/29.72/ 99.7%, now:124.46/29.83/ 99.3%/ 99.7%/31, V:1256, P:3698+0.5%, L:0.00%/0.000, T:69.9/72.7/7.0, d:268435456
03:59:16 exp:125.36/29.42/31, hash:124.89/29.71/ 99.7%, now:125.42/29.58/100.0%/ 99.7%/32, V:1255, P:3698+0.5%, L:0.00%/0.000, T:69.9/72.9/7.0, d:-1073741824
03:59:36 exp:125.36/29.42/31, hash:124.88/29.63/ 99.7%, now:125.14/29.60/ 99.8%/ 99.8%/29, V:1255, P:3685+0.2%, L:0.00%/0.000, T:69.7/72.2/6.5, d:0
03:59:56 exp:125.36/29.42/31, hash:124.93/29.56/ 99.7%, now:124.96/29.61/ 99.7%/ 99.8%/30, V:1255, P:3686+0.2%, L:0.00%/0.000, T:69.8/72.3/6.5, d:0
04:00:16 exp:125.36/29.42/31, hash:124.90/29.58/ 99.7%, now:124.80/29.62/ 99.6%/ 99.8%/30, V:1255, P:3686+0.2%, L:0.00%/0.000, T:69.9/72.4/6.5, d:0
04:00:36 exp:125.36/29.42/31, hash:124.89/29.56/ 99.7%, now:125.37/29.49/100.0%/ 99.7%/31, V:1255, P:3690+0.3%, L:0.00%/0.000, T:70.0/72.7/7.0, d:0
04:00:56 exp:125.36/29.42/31, hash:124.90/29.58/ 99.7%, now:124.87/29.62/ 99.6%/ 99.7%/31, V:1255, P:3690+0.3%, L:0.00%/0.000, T:70.0/72.8/7.0, d:0
04:01:16 exp:125.36/29.42/31, hash:124.86/29.61/ 99.7%, now:124.68/29.68/ 99.5%/ 99.7%/31, V:1255, P:3694+0.4%, L:0.00%/0.000, T:70.1/73.0/7.0, d:0
04:01:36 exp:125.36/29.42/31, hash:124.93/29.62/ 99.7%, now:125.44/29.51/100.1%/ 99.7%/31, V:1254, P:3694+0.4%, L:0.00%/0.000, T:70.1/73.0/7.0, d:-1
04:01:56 exp:125.36/29.42/31, hash:124.97/29.59/ 99.7%, now:125.15/29.58/ 99.8%/ 99.7%/32, V:1254, P:3689+0.3%, L:0.00%/0.000, T:70.2/73.2/7.5, d:0
04:02:16 exp:125.36/29.42/31, hash:125.03/29.52/ 99.7%, now:125.55/29.48/100.2%/ 99.8%/33, V:1253, P:3684+0.2%, L:0.00%/0.000, T:70.0/72.9/7.5, d:-1
04:02:36 exp:125.36/29.42/31, hash:125.02/29.53/ 99.7%, now:124.79/29.62/ 99.6%/ 99.8%/31, V:1253, P:3678+0.0%, L:0.00%/0.000, T:69.9/72.6/7.5, d:0
04:02:56 exp:125.36/29.42/31, hash:125.02/29.54/ 99.7%, now:124.51/29.65/ 99.3%/ 99.8%/29, V:1254, P:3677-0.0%, L:0.00%/0.000, T:70.1/72.8/7.5, d:1
04:03:16 exp:125.36/29.42/31, hash:116.94/30.31/ 96.5%, now:  4.12/620.84/  3.3%/ 99.8%/0, V:1254, P:5-99.9%, L:0.00%/0.000, T:67.6/72.8/7.5, d:268435456
04:03:36 exp:125.36/29.42/31, hash:108.62/31.09/ 93.2%, now:  0.00/ inf/  0.0%/ 99.8%/0, V:1255, P:7-99.8%, L:0.00%/0.000, T:65.7/72.8/8.0, d:1
04:03:56 exp:125.36/29.42/31, hash:100.32/77.99/ 89.8%, now:  0.00/ inf/  0.0%/ 99.8%/0, V:1255, P:7-99.8%, L:0.00%/0.000, T:63.3/72.8/8.0, d:268435456
04:04:16 exp:125.36/29.42/31, hash: 91.96/ inf/ 86.5%, now:  0.00/ inf/  0.0%/ 99.8%/0, V:1256, P:8-99.8%, L:0.00%/0.000, T:60.5/72.8/8.5, d:1
04:04:36 exp:125.36/29.42/31, hash: 83.62/ inf/ 83.2%, now:  0.00/ inf/  0.0%/ 99.8%/0, V:1256, P:7-99.8%, L:0.00%/0.000, T:58.0/72.8/8.5, d:268435456
04:04:56 exp:125.36/29.42/31, hash: 75.29/ inf/ 79.9%, now:  0.00/ inf/  0.0%/ 99.8%/0, V:1257, P:8-99.8%, L:0.00%/0.000, T:55.3/72.8/8.5, d:1
04:05:16 exp:125.36/29.42/31, hash: 66.96/ inf/ 76.5%, now:  0.00/ inf/  0.0%/ 99.8%/0, V:1257, P:8-99.8%, L:0.00%/0.000, T:53.0/72.8/8.5, d:268435456
04:05:36 exp:125.36/29.42/31, hash: 58.61/ inf/ 73.2%, now:  0.00/ inf/  0.0%/ 99.8%/0, V:1258, P:9-99.8%, L:0.00%/0.000, T:50.5/72.8/8.5, d:1
04:05:56 exp:125.36/29.42/31, hash: 50.28/ inf/ 69.9%, now:  0.00/ inf/  0.0%/ 99.8%/0, V:1258, P:6-99.8%, L:0.00%/0.000, T:48.4/72.8/8.5, d:268435456
04:06:16 exp:125.36/29.42/31, hash: 41.97/ inf/ 66.5%, now:  0.00/ inf/  0.0%/ 99.8%/0, V:1259, P:6-99.8%, L:0.00%/0.000, T:46.4/72.8/8.5, d:1
04:06:36 exp:125.36/29.42/31, hash: 33.61/ inf/ 63.2%, now:  0.00/ inf/  0.0%/ 99.8%/0, V:1259, P:8-99.8%, L:0.00%/0.000, T:44.5/72.8/8.5, d:268435456
04:06:56 exp:125.36/29.42/31, hash: 25.26/ inf/ 59.9%, now:  0.00/ inf/  0.0%/ 99.8%/0, V:1260, P:7-99.8%, L:0.00%/0.000, T:42.7/72.8/8.0, d:1
04:07:16 exp:125.36/29.42/31, hash: 16.89/ inf/ 56.6%, now:  0.00/ inf/  0.0%/ 99.8%/0, V:1260, P:7-99.8%, L:0.00%/0.000, T:41.0/72.8/8.5, d:268435456
04:07:36 exp:125.36/29.42/31, hash:  8.58/ inf/ 53.3%, now:  0.00/ inf/  0.0%/ 99.8%/0, V:1261, P:7-99.8%, L:0.00%/0.000, T:39.4/72.8/8.5, d:1
04:12:35 exp:125.12/29.51/31, hash:124.69/29.62/ 99.7%, now:124.69/29.62/ 99.7%/  0.0%/29, V:1252, P:3676+0.0%, L:0.00%/0.000, T:71.4/73.4/8.0, d:8
04:12:55 exp:125.12/29.51/31, hash:124.69/29.61/ 99.7%, now:124.68/29.61/ 99.7%/  0.0%/35, V:1252, P:3687+0.0%, L:0.00%/0.000, T:71.5/74.3/8.0, d:8
04:13:15 exp:125.12/29.51/31, hash:124.60/29.63/ 99.6%, now:124.42/29.68/ 99.4%/  0.0%/36, V:1254, P:3678+0.0%, L:0.00%/0.000, T:70.7/73.3/8.0, d:8
04:13:35 exp:125.12/29.51/31, hash:124.59/29.66/ 99.6%, now:124.58/29.66/ 99.6%/  0.0%/33, V:1254, P:3678+0.0%, L:0.00%/0.000, T:69.9/72.2/7.5, d:8
04:13:55 exp:125.12/29.51/31, hash:124.54/29.67/ 99.5%, now:124.34/29.69/ 99.4%/  0.0%/28, V:1254, P:3678+0.0%, L:0.00%/0.000, T:70.1/72.5/7.5, d:8
04:14:15 exp:125.12/29.51/31, hash:124.55/29.64/ 99.5%, now:124.57/29.62/ 99.6%/  0.0%/31, V:1254, P:3682+0.0%, L:0.00%/0.000, T:70.5/73.1/7.0, d:8
his:99.6%/29.63/1252, now:99.5%/29.66/1254, add:-0.10/0.09/-0.36
04:14:35 exp:125.12/29.51/31, hash:124.55/29.66/ 99.5%, now:124.55/29.64/ 99.5%/  0.0%/35, V:1252, P:3691+0.0%, L:0.00%/0.000, T:70.5/73.7/7.0, d:8
04:14:55 exp:125.12/29.51/31, hash:124.54/29.67/ 99.5%, now:124.52/29.68/ 99.5%/  0.0%/37, V:1252, P:3677+0.0%, L:0.00%/0.000, T:70.0/73.2/7.5, d:8
04:15:15 exp:125.12/29.51/31, hash:124.36/29.78/ 99.4%, now:122.91/30.05/ 98.2%/  0.0%/30, V:1252, P:3666+0.0%, L:0.00%/0.000, T:69.4/72.0/7.5, d:8
04:15:35 exp:125.12/29.51/31, hash:124.25/29.82/ 99.3%, now:123.24/29.89/ 98.5%/  0.0%/30, V:1252, P:3666+0.0%, L:0.00%/0.000, T:69.7/72.2/7.0, d:8
04:15:55 exp:125.12/29.51/31, hash:124.13/29.90/ 99.2%, now:122.87/29.93/ 98.2%/  0.0%/30, V:1254, P:3663+0.0%, L:0.00%/0.000, T:69.7/72.0/7.0, d:8
04:16:15 exp:125.12/29.51/31, hash:124.11/29.83/ 99.2%, now:123.97/29.68/ 99.1%/  0.0%/33, V:1254, P:3682+0.0%, L:0.00%/0.000, T:70.0/73.0/7.0, d:8
04:16:35 exp:125.12/29.51/31, hash:124.17/29.76/ 99.2%, now:124.81/29.54/ 99.8%/  0.0%/33, V:1254, P:3680+0.0%, L:0.00%/0.000, T:69.7/72.6/7.0, d:8
04:16:55 exp:125.12/29.51/31, hash:124.19/29.67/ 99.3%, now:124.54/29.64/ 99.5%/  0.0%/31, V:1254, P:3682+0.0%, L:0.00%/0.000, T:69.8/72.6/7.0, d:8
his:98.3%/29.90/1252, now:99.5%/29.65/1254, add:1.22/-0.82/3.68
04:17:15 exp:125.12/29.51/31, hash:124.20/29.65/ 99.3%, now:124.23/29.72/ 99.3%/  0.0%/31, V:1254, P:3682+0.0%, L:0.00%/0.000, T:69.9/72.7/7.0, d:8
04:17:35 exp:125.12/29.51/31, hash:124.20/29.64/ 99.3%, now:124.83/29.57/ 99.8%/  0.0%/31, V:1254, P:3682+0.0%, L:0.00%/0.000, T:69.9/72.6/7.0, d:8
04:17:55 exp:125.12/29.51/31, hash:124.17/29.68/ 99.3%, now:124.09/29.75/ 99.2%/  0.0%/31, V:1254, P:3682+0.0%, L:0.00%/0.000, T:70.0/72.5/7.0, d:8
04:18:15 exp:125.12/29.51/31, hash:124.19/29.65/ 99.3%, now:124.77/29.60/ 99.7%/ 99.8%/34, V:1254, P:3688+0.2%, L:0.00%/0.000, T:70.0/73.2/7.0, d:0
04:18:35 exp:125.12/29.51/31, hash:124.20/29.66/ 99.3%, now:124.77/29.61/ 99.7%/ 99.8%/31, V:1254, P:3682+0.0%, L:0.00%/0.000, T:69.9/72.6/7.0, d:0
04:18:55 exp:125.12/29.51/31, hash:124.22/29.63/ 99.3%, now:124.58/29.65/ 99.6%/ 99.8%/31, V:1254, P:3682+0.0%, L:0.00%/0.000, T:70.0/72.6/6.5, d:0
04:19:15 exp:125.12/29.51/31, hash:124.23/29.61/ 99.4%, now:124.83/29.58/ 99.8%/ 99.8%/31, V:1254, P:3682+0.0%, L:0.00%/0.000, T:70.2/72.8/7.0, d:0
04:19:35 exp:125.12/29.51/31, hash:124.25/29.60/ 99.4%, now:124.84/29.58/ 99.8%/ 99.8%/31, V:1254, P:3684+0.1%, L:0.00%/0.000, T:70.2/72.8/7.0, d:0
04:19:55 exp:125.12/29.51/31, hash:124.27/29.60/ 99.4%, now:124.74/29.62/ 99.7%/ 99.8%/33, V:1254, P:3688+0.2%, L:0.00%/0.000, T:70.4/73.2/7.0, d:0
04:20:15 exp:125.12/29.51/31, hash:124.39/29.63/ 99.4%, now:124.66/29.65/ 99.6%/ 99.8%/31, V:1254, P:3682+0.0%, L:0.00%/0.000, T:70.1/72.7/7.0, d:0
