%
0440 C49 , F:600, V:318, T: 82.5,  80.9%
0440 C50 , F:594, V:320, T: 82.0,  84.8%
0440 C51 , F:598, V:316, T: 82.5,  81.7%
0440 C52 , F:590, V:317, T: 82.5,  84.7%
0440 C53 , F:589, V:319, T: 83.5,  86.6%
0440 C54 , F:612, V:319, T: 88.0,  80.9%
0440 C55 , F:591, V:315, T: 84.5,  80.7%
0440 C56 , F:580, V:312, T: 85.0,  85.9%
0440 C57 , F:559, V:319, T: 80.5,  83.5%
0440 C58 , F:612, V:319, T: 84.0,  86.2%
0440 C59 , F:621, V:329, T: 85.0,  81.0%
0440 C60 , F:588, V:319, T: 83.5,  88.9%
0440 C61 , F:594, V:319, T: 81.5,  85.9%
0440 C62 , F:580, V:319, T: 79.5,  87.6%
0440 C63 , F:577, V:325, T: 78.0,  84.1%
0440 C64 , F:605, V:323, T: 80.0,  81.8%
0440 C65 , F:609, V:322, T: 81.5,  83.4%
0440 C66 , F:607, V:319, T: 81.0,  85.5%
0440 C67 , F:591, V:319, T: 79.5,  81.6%
0440 C68 , F:593, V:319, T: 77.5,  84.5%
0440 C69 , F:583, V:322, T: 77.0,  79.6%
0440 C70 , F:587, V:322, T: 79.0,  84.1%
0440 C71 , F:594, V:326, T: 79.5,  85.0%
0440 C72 , F:607, V:321, T: 79.0,  86.5%
0440 C73 , F:580, V:321, T: 77.5,  82.3%
0440 C74 , F:577, V:320, T: 75.5,  86.8%
0440 C75 , F:593, V:322, T: 74.5,  87.0%
0440 C76 , F:591, V:321, T: 76.5,  83.9%
0440 C77 , F:599, V:322, T: 77.5,  85.8%
0440 C78 , F:583, V:326, T: 75.5,  79.5%
0440 C79 , F:594, V:326, T: 76.0,  84.4%
0440 C80 , F:590, V:324, T: 73.5,  82.7%
0440 C81 , F:581, V:326, T: 71.5,  86.9%
0440 C82 , F:609, V:325, T: 73.5,  86.7%
0440 C83 , F:595, V:330, T: 73.5,  84.9%
0440 C84 , F:604, V:325, T: 72.5,  88.5%
0440 C85 , F:615, V:325, T: 71.5,  83.5%
0440 C86 , F:586, V:326, T: 69.5,  76.6%
0440 C87 , F:598, V:329, T: 68.0,  83.1%
0440 C88 , F:588, V:329, T: 69.5,  83.8%
0440 C89 , F:604, V:329, T: 71.5,  84.3%
0440 C90 , F:605, V:328, T: 70.0,  86.2%
0440 C91 , F:618, V:329, T: 69.0,  84.9%
0440 C92 , F:584, V:330, T: 65.5,  83.9%
0440 C93 , F:574, V:334, T: 63.0,  84.9%
0440 C94 , F:598, V:334, T: 66.5,  91.6%
0440 C95 , F:610, V:338, T: 67.0,  82.3%
0440 C96 , F:608, V:334, T: 64.0,  86.9%
0440 C97 , F:602, V:334, T: 61.5,  84.9%
0440 C98 , F:578, V:333, T: 59.0,  82.8%
0440 C99 , F:581, V:337, T: 58.0,  82.4%
0440 C100, F:614, V:335, T: 61.0,  83.4%
0440 C101, F:610, V:337, T: 62.5,  81.4%
0440 C102, F:631, V:336, T: 62.5,  84.3%
0440 C103, F:608, V:338, T: 58.0,  80.0%
0440 C104, F:544, V:337, T: 54.5,  87.2%
0440 C105, F:580, V:337, T: 53.0,  85.7%
0440 C106, F:602, V:335, T: 57.0,  83.9%
0440 C107, F:617, V:341, T: 63.5,  84.7%
0440 C108, F:625, V:338, T: 60.0,  82.0%
0440 C109, F:577, V:341, T: 54.0,  87.4%
0440 C110, F:598, V:341, T: 56.5,  82.9%
0441 C0  , F:553, V:337, T: 51.5,   0.0%
0441 C1  , F:642, V:335, T: 59.0,   0.0%
0441 C2  , F:615, V:334, T: 62.0,   0.0%
0441 C3  , F:610, V:333, T: 59.0,   0.0%
0441 C4  , F:639, V:334, T: 59.5,   0.0%
0441 C5  , F:611, V:335, T: 55.5,   0.0%
0441 C6  , F:608, V:334, T: 57.5,   0.0%
0441 C7  , F:615, V:334, T: 60.5,   0.0%
0441 C8  , F:608, V:336, T: 58.5,   0.0%
0441 C9  , F:602, V:332, T: 59.5,   0.0%
0441 C10 , F:613, V:333, T: 60.5,   0.0%
0441 C11 , F:609, V:336, T: 59.5,   0.0%
0441 C12 , F:615, V:337, T: 62.0,   0.0%
0441 C13 , F:586, V:337, T: 63.0,   0.0%
0441 C14 , F:606, V:336, T: 61.0,   0.0%
0441 C15 , F:601, V:330, T: 63.5,   0.0%
0441 C16 , F:591, V:332, T: 63.0,   0.0%
0441 C17 , F:639, V:330, T: 65.0,   0.0%
0441 C18 , F:600, V:332, T: 67.0,   0.0%
0441 C19 , F:582, V:332, T: 66.5,   0.0%
0441 C20 , F:609, V:331, T: 66.0,   0.0%
0441 C21 , F:617, V:326, T: 68.5,   0.0%
0441 C22 , F:599, V:326, T: 69.5,   0.0%
0441 C23 , F:601, V:328, T: 70.0,   0.0%
0441 C24 , F:605, V:326, T: 70.5,   0.0%
0441 C25 , F:586, V:325, T: 71.0,   0.0%
0441 C26 , F:608, V:326, T: 70.0,   0.0%
0441 C27 , F:591, V:325, T: 70.5,   0.0%
0441 C28 , F:603, V:325, T: 73.0,   0.0%
0441 C29 , F:603, V:327, T: 73.5,   0.0%
0441 C30 , F:624, V:322, T: 74.5,   0.0%
0441 C31 , F:599, V:322, T: 74.0,   0.0%
0441 C32 , F:593, V:324, T: 73.5,   0.0%
0441 C33 , F:576, V:319, T: 73.5,   0.0%
0441 C34 , F:610, V:319, T: 76.5,   0.0%
0441 C35 , F:600, V:322, T: 76.0,   0.0%
0441 C36 , F:590, V:323, T: 78.0,   0.0%
0441 C37 , F:593, V:324, T: 78.5,   0.0%
0441 C38 , F:611, V:323, T: 77.0,   0.0%
0441 C39 , F:598, V:321, T: 78.5,   0.0%
0441 C40 , F:605, V:322, T: 79.0,   0.0%
0441 C41 , F:587, V:322, T: 79.0,   0.0%
0441 C42 , F:598, V:318, T: 79.5,   0.0%
0441 C43 , F:606, V:319, T: 80.5,   0.0%
0441 C44 , F:588, V:320, T: 79.0,   0.0%
0441 C45 , F:600, V:317, T: 80.0,   0.0%
0441 C46 , F:599, V:318, T: 80.5,   0.0%
0441 C47 , F:591, V:322, T: 81.0,   0.0%
0441 C48 , F:598, V:319, T: 81.5,   0.0%
0441 C49 , F:600, V:318, T: 82.5,   0.0%
0441 C50 , F:594, V:320, T: 82.0,   0.0%
0441 C51 , F:598, V:316, T: 82.5,   0.0%
0441 C52 , F:590, V:317, T: 82.5,   0.0%
0441 C53 , F:589, V:319, T: 83.5,   0.0%
0441 C54 , F:612, V:319, T: 88.0,   0.0%
0441 C55 , F:591, V:315, T: 84.5,   0.0%
0441 C56 , F:580, V:312, T: 85.0,   0.0%
